product_id,total_reviews,avg_star_rating,avg_sentiment
B0000EIE2Z,1,5.0,0.875
B0000EIEQU,1,5.0,0.93
B0000EIEWO,1,1.0,0.1027
B0000EIEXJ,1,5.0,0.9321
B0000EJXL2,2,4.0,0.8262
B0000ESTGX,1,5.0,0.4019
B0000ESTGY,1,4.0,0.7501
B0000EWBAI,1,5.0,0.8271
B0000EWQIA,1,5.0,0.3678
B0000EYB2Y,1,5.0,0.9201
B0000EYK3E,1,5.0,0.539
B0000GG22E,1,4.0,0.9578
B0000GG256,2,3.5,0.5044
B0000GGHMY,1,5.0,0.9134
B0000GGHOW,1,5.0,0.8834
B0000GGHP6,1,5.0,0.7717
B0000GGHQK,1,2.0,-0.6808
B0000GGHVA,1,5.0,0.7003
B0000GGHVU,2,4.5,0.9446
B0000GGHX8,1,5.0,0.9081
B0000GGHZQ,5,4.6,0.666
B0000GGI00,1,5.0,0.9259
B0000GGI28,1,5.0,0.9166
B0000GGI2I,1,5.0,0.8731
B0000GGIFK,1,5.0,0.0005
B0000GGQA2,1,4.0,0.9325
B0000GGYZY,2,5.0,0.937
B0000GGZ12,1,3.0,0.5859
B0000GH6UG,2,5.0,0.9818
B0000GH6UQ,2,3.0,0.856
B0000GHEEY,1,5.0,0.9052
B0000GHEGC,1,5.0,0.7717
B0000GHNSG,1,5.0,0.3976
B0000GHNSQ,7,4.7143,0.6351
B0000GHNT0,1,5.0,0.8074
B0000GHNTK,8,4.625,0.6725
B0000GHNTU,6,4.8333,0.8657
B0000GHNU4,1,3.0,0.5141
B0000GHNUE,1,5.0,0.9118
B0000GHNUY,3,5.0,0.4616
B0000GHNV8,3,4.6667,0.8355
B0000GHNVI,2,5.0,0.7712
B0000GHNVS,2,5.0,0.9244
B0000GHNW2,2,4.0,0.7432
B0000GHNWC,4,4.75,0.862
B0000GHNWM,6,4.8333,0.7439
B0000GHXSG,2,5.0,0.7939
B0000GHXSQ,3,4.6667,0.888
B0000GIOPW,2,4.5,0.8672
B0000GIORA,1,5.0,0.8658
B0000GIOS4,2,5.0,0.7384
B0000GIOU2,1,5.0,0.9186
B0000GIOXO,1,5.0,0.9169
B0000GIVA0,4,4.25,0.6654
B0000GIVAU,3,5.0,0.7248
B0000GIVBE,1,5.0,0.9076
B0000GIVDM,1,5.0,0.5106
B0000GIVFA,3,4.6667,0.7892
B0000GIZR4,1,5.0,0.8779
B0000GIZRY,1,4.0,0.3041
B0000GIZTC,1,5.0,0.5423
B0000GJ7EE,1,1.0,-0.4966
B0000GJNYI,1,4.0,0.1779
B0000GJNZ2,1,4.0,0.9169
B0000GK068,1,1.0,0.7351
B0000GK086,1,5.0,0.6369
B0000GK0A4,2,4.0,0.807
B0000GK0AE,1,5.0,0.8122
B0000GKVU8,2,5.0,0.8675
B0000GKVXK,1,5.0,0.8905
B0000GL6RU,1,1.0,0.2732
B0000ICLK4,1,5.0,0.9042
B0000ICLKY,5,4.6,0.7254
B0000ICLLS,6,2.8333,0.7058
B0000IEAHQ,5,3.8,0.6616
B0000IJYK4,1,4.0,0.9612
B0000IJYKE,1,5.0,0.9659
B0000KC2BK,1,5.0,0.9552
B0000KC2D8,1,4.0,0.9156
B0000KCKV2,2,5.0,0.7406
B0000SWIVG,1,1.0,-0.352
B0000SWLFO,1,4.0,0.9152
B0000SWYS8,2,1.5,0.6515
B0000SWZX2,2,5.0,0.7712
B0000SX2TS,1,5.0,0.8935
B0000SX9VY,1,1.0,0.4404
B0000SXEKA,2,3.0,0.9273
B0000SXEL4,1,3.0,0.886
B0000SXEMI,1,3.0,0.8591
B0000SXEN2,2,5.0,0.8552
B0000SXENM,1,5.0,0.8807
B0000SXEOQ,5,4.8,0.8844
B0000SXEPA,1,4.0,0.6705
B0000SXEPU,2,4.0,0.7669
B0000SXFW2,2,5.0,0.8556
B0000SY9U4,2,3.0,0.6786
B0000SY9UE,5,4.8,0.926
B0000T15L4,1,5.0,0.8225
B0000T15LE,1,4.0,0.9826
